Gene.symbol	Gene.ID	adj.P.Val	logFC
KIAA0101	9768	3.6527764100158e-31	4.55913523978118
DTL	51514	5.91809476571954e-30	3.67921774278912
TYMS	7298	2.83070768425436e-29	3.67035228143311
MAMDC2	256691	7.45318207053044e-27	4.03101040741497
MYB///MYB	4602///4602	1.50263804569631e-26	3.59896533199546
CBX7	23492	1.57896012775413e-26	-2.24007964966893
PRC1	9055	7.02954054416911e-26	3.0800967854263
TPX2	22974	3.05802132057394e-22	3.15641491614172
ZBP1	81030	5.41785932197066e-22	-2.24400833257823
SCCPDH	51097	1.05128694901038e-20	2.83305394852834
TOP2A	7153	1.05128694901038e-20	3.29810352836282
CHEK1	1111	1.3463511981421e-20	2.94682724253968
MKI67	4288	1.68099918433775e-19	2.77092991224377
STMN1	3925	2.09745306169459e-19	2.78817411842404
BUB1B	701	2.33134529153799e-19	2.75655355297846
		4.77255572984977e-19	-1.37559173919161
HIST2H3D///HIST2H3A///HIST2H3C	653604///333932///126961	4.98335762111247e-19	2.33229368478231
HIST1H1B	3009	5.46197728951073e-19	3.65320296992631
CIT	11113	5.65310509635999e-19	2.37075070203741
MCM4	4173	5.65310509635999e-19	2.23452321069842
CCDC88A	55704	8.61957252677601e-19	2.74652024237416
NUAK2	81788	2.28302369590613e-18	-2.79883463635941
ECRP///ECRP	643332///643332	3.32302184694756e-18	4.55318219877211
NCAPG	64151	3.81926466618497e-18	3.22796342043764
PLK4	10733	4.11970949376482e-18	2.43962155542631
CDK6	1021	4.11970949376482e-18	2.95157788754195
FADS2	9415	8.26628717201733e-18	3.0180668554127
CDC45	8318	8.26628717201733e-18	2.28750067397506
NPR3	4883	1.08679086852454e-17	3.84670478722336
HIST1H3B	8358	1.14237872737413e-17	3.20618480107483
ANLN	54443	1.59652767736845e-17	2.64104618221088
CENPF	1063	1.72542919758542e-17	2.82096547029252
IQGAP3	128239	2.63222300664356e-17	1.66969735012925
SMC4	10051	3.53023601130195e-17	1.59853086266894
ARHGAP11A	9824	3.72848305928227e-17	3.15486511828005
NRG4	145957	5.29958929099442e-17	3.4068875179161
MCM2	4171	6.90204592766955e-17	1.9862173143288
FANCI	55215	7.3594041814308e-17	2.54306870017461
KIF11	3832	7.51606298093205e-17	2.59310933700227
		9.43466659177547e-17	2.38054530960884
DEPTOR	64798	1.03349910841835e-16	3.5786581114932
COL24A1	255631	1.11230584370913e-16	2.23241663100454
AKTIP	64400	1.59686582204134e-16	-2.53454908048866
NPR3	4883	2.01896249589455e-16	3.95660212524943
TTC9	23508	2.69827721881851e-16	-1.47383076726984
CDCA7	83879	2.90559325080907e-16	2.44337689993425
		5.36755675975919e-16	3.72489085148073
SEPP1	6414	6.37822585673027e-16	3.31207688986281
FLT3	2322	8.13324969404967e-16	5.2500645271644
CENPU	79682	8.19526451312587e-16	2.13654467118594
MCM10	55388	1.36131388284671e-15	2.31884765424603
CLU	1191	2.23171744939114e-15	2.87071390229365
CCNE2	9134	3.59486799441645e-15	2.36987354354762
FADS1	3992	4.8835565629237e-15	2.78004630070521
NUF2	83540	5.75189618038961e-15	2.43885440219048
LINC00324	284029	6.00929185645714e-15	-1.68114106379365
KIF23	9493	6.28775686585429e-15	2.82172753519388
EPDR1	54749	6.57854541260836e-15	2.39016296317574
ZNF211	10520	6.62269812859564e-15	-1.29527315306803
KPNA2	3838	7.92008664129478e-15	1.97053396128345
MPO	4353	8.60266182476831e-15	5.56350115651021
CPXM1	56265	8.89389781638056e-15	3.77695351746145
BRIP1	83990	9.47729341313705e-15	2.23355514603628
SNTB2	6645	1.12439861825162e-14	-1.86022571342403
EMP1	2012	1.12439861825162e-14	3.85759896180386
SPAG5	10615	1.18169961639465e-14	2.00879504296032
CAPRIN1	4076	1.19513888339149e-14	0.948071743549887
CCNA2	890	1.42250194176788e-14	2.29715325647279
MINK1	50488	1.96252373843055e-14	-1.40734130251134
